IDInsumo,Nombre,Caducidad,Cantidad,Refrigeracion,Tipo
1,hormigas de terciopelo,2024-09-07,51,false,Lacteo
2,repollo blanco,2023-11-07,25,true,Carne
3,atún,2024-07-09,92,false,Pescado
4,larvas de abeja,2024-05-23,15,true,Verdura
5,ciruela damascena,2024-01-07,39,true,Carne
6,rábano rojo,2023-11-24,75,false,Verdura
7,trucha marrón,2024-08-11,75,false,Semilla
8,hormigas blancas,2024-06-25,6,false,Verdura
9,bacalao,2024-04-18,27,false,Carne
10,calabaza de invierno,2024-08-13,49,false,Carne
11,repollo,2024-04-01,91,true,Verdura
12,enguia,2024-09-13,1,false,Tuberculo
13,ternera,2024-02-26,13,true,Insecto
14,gusanos de la miel,2024-02-05,28,false,Pescado
15,papa,2024-05-26,82,false,Insecto
16,quinua blanca,2024-08-24,10,true,Insecto
17,remolacha roja,2024-10-25,16,false,Verdura
18,rábano oriental redondo,2024-01-19,83,true,Lacteo
19,papaya,2024-02-23,83,true,Tuberculo
20,pimiento verde,2024-09-17,70,true,Pescado
21,calabacín redondo,2023-12-26,11,true,Tuberculo
22,anguila,2024-02-01,16,false,Verdura
23,ciruela roja japonesa,2024-01-31,16,false,Carne
24,larvas de polilla,2024-10-17,78,false,Carne
25,zanahoria,2023-11-21,78,true,Insecto
26,gusanos de seda,2024-08-12,99,false,Tuberculo
27,calabaza de spaghetti,2024-07-25,5,true,Verdura
28,calabaza de spaghetti,2024-04-11,100,false,Lacteo
29,tilapia,2024-10-20,31,false,Lacteo
30,cebolla,2024-09-01,40,false,Tuberculo
31,frambuesa,2024-03-05,65,true,Semilla
32,pargo común,2024-05-18,29,false,Insecto
33,nabo forrajero,2024-06-03,63,true,Pescado
34,rábano de daikon,2024-02-23,73,false,Fruta
35,calabacín italiano,2024-09-20,31,true,Semilla
36,escamoles,2024-09-25,18,false,Semilla
37,durazno,2024-02-18,97,true,Fruta
38,lentejas,2024-02-18,80,false,Fruta
39,durazno,2024-02-03,100,false,Verdura
40,pollo de Guinea,2023-11-18,19,true,Verdura
41,pavo Bourbon Red,2024-01-09,27,false,Insecto
42,gorgojos de palma,2024-07-16,83,true,Fruta
43,quinoa negra,2024-07-15,42,true,Verdura
44,rábano blanco,2024-07-21,92,false,Verdura
45,pollo de Cornualles enano,2024-08-18,93,false,Fruta
46,almendra australiana,2024-03-27,7,false,Pescado
47,tomate,2023-12-04,87,true,Semilla
48,ciruela pasa,2023-11-09,28,false,Carne
49,nabo daikon,2024-04-18,74,true,Verdura
50,pollo de Cornualles rojo,2023-12-22,77,true,Tuberculo
51,quinoa roja,2024-05-21,80,false,Semilla
52,pavo Bourbon Red,2024-01-02,26,true,Tuberculo
53,calabaza de invierno,2023-10-28,97,false,Verdura
54,soja,2024-05-09,49,true,Lacteo
55,hormigas de bosque,2023-11-10,99,false,Carne
56,garza blanca grande,2024-09-06,10,true,Verdura
57,nabo sueco,2024-01-29,88,false,Tuberculo
58,conejo,2024-10-22,70,false,Semilla
59,pollo de Cornualles rojo,2024-10-03,87,false,Semilla
60,lenguado de Dover,2023-11-29,69,true,Fruta
61,calabaza de barco,2024-09-22,14,true,Lacteo
62,mijo,2024-06-08,74,true,Pescado
63,nabo blanco,2024-09-23,90,true,Carne
64,perca europea,2023-12-23,64,true,Semilla
65,ciruela amarilla,2024-02-04,53,false,Lacteo
66,larvas de escarabajo de la harina,2024-03-10,36,false,Verdura
67,lubina,2024-03-03,15,true,Verdura
68,calabaza,2024-10-01,26,false,Fruta
69,calabaza,2024-06-22,12,false,Verdura
70,batata,2023-12-11,64,false,Pescado
71,caqui,2024-08-19,89,true,Insecto
72,nabo,2024-02-04,23,true,Semilla
73,gusanos del bambú,2024-08-15,95,false,Verdura
74,cerdo,2024-04-10,49,false,Carne
75,linaza,2024-09-04,12,true,Tuberculo
76,larvas de polilla,2024-05-17,93,true,Insecto
77,venado,2024-02-19,28,false,Fruta
78,judía verde,2024-02-07,45,false,Verdura
79,pimientos amarillos,2024-06-29,87,false,Insecto
80,hormigas,2024-02-18,88,false,Fruta
81,bacalao del Pacífico,2024-09-19,99,false,Semilla
82,nabo daikon,2023-11-14,26,true,Verdura
83,pollo de Cornualles blanco,2024-08-02,34,false,Insecto
84,pollo de Guinea,2023-11-11,89,false,Verdura
85,zanahoria,2024-04-25,87,false,Fruta
86,rábano de daikon,2024-10-17,47,true,Semilla
87,saltamontes,2024-01-26,61,false,Verdura
88,remolacha roja,2024-01-15,3,false,Carne
89,pimientos amarillos,2024-08-04,46,true,Pescado
90,ciruela roja occidental,2024-02-21,98,false,Verdura
91,calabacín,2024-10-21,53,false,Lacteo
92,linaza dorada,2024-03-21,25,false,Pescado
93,garza blanca grande,2024-03-05,42,true,Verdura
94,pera,2024-07-18,64,true,Semilla
95,nabo sueco,2024-05-22,43,true,Verdura
96,chapulines verdes,2024-03-14,86,true,Tuberculo
97,remolacha,2024-03-20,40,true,Lacteo
98,pimiento,2024-01-16,54,false,Verdura
99,plátano,2024-02-03,8,true,Semilla
100,calabaza de barco,2024-05-14,65,true,Verdura
101,lentejas,2024-04-06,36,true,Insecto
102,cerezas,2024-10-20,73,true,Pescado
103,calabacín verde,2024-06-03,60,false,Insecto
104,brócoli,2024-07-09,64,false,Fruta
105,caqui,2024-04-09,13,false,Insecto
106,pavo Narragansett,2024-03-04,64,false,Insecto
107,cebolla,2024-02-15,45,true,Fruta
108,pollo de Cornualles,2024-02-03,41,true,Carne
109,pimientos naranja,2024-03-19,67,false,Pescado
110,semillas de sésamo,2024-04-23,35,false,Carne
111,durazno,2024-01-17,23,true,Insecto
112,larvas de abeja de miel,2024-06-11,15,true,Pescado
113,trucha arcoíris plateada,2023-12-27,77,false,Pescado
114,nabo largo,2024-02-22,84,true,Pescado
115,pavo Narragansett,2023-12-24,67,false,Carne
116,hormigas cortadoras de hojas,2024-05-27,30,true,Carne
117,pargo rojo del Pacífico,2023-12-07,83,false,Tuberculo
118,rábano rojo japonés,2023-11-23,41,false,Verdura
119,tilapia del Nilo,2024-04-16,51,false,Lacteo
120,larvas de polilla de la seda,2024-02-17,59,false,Carne
121,repollo blanco,2023-11-28,68,false,Fruta
122,brócoli,2024-06-14,98,true,Verdura
123,mazorca de maíz roja,2024-02-12,93,false,Fruta
124,pato de Muscovy,2023-12-28,99,false,Tuberculo
125,nabo sueco,2024-08-14,89,true,Semilla
126,rábano oriental,2023-12-19,69,true,Insecto
127,avena,2024-04-22,48,true,Pescado
128,pimientos morrones verdes,2024-09-10,47,false,Semilla
129,nabo sueco,2024-03-15,46,true,Verdura
130,amaranto blanco,2023-12-15,1,true,Fruta
131,ciruela roja,2024-06-06,48,false,Semilla
132,maíz,2024-08-17,93,false,Semilla
133,calabacín amarillo,2023-12-13,52,true,Insecto
134,bacalao de Alaska,2024-02-26,39,true,Semilla
135,naranja,2024-01-07,43,true,Lacteo
136,papa,2024-06-06,68,true,Verdura
137,abejorro,2023-12-28,35,true,Fruta
138,bacalao del Pacífico,2024-04-20,40,false,Tuberculo
139,hormiga de la harina,2024-09-19,56,false,Verdura
140,calabaza del acantilado,2024-02-29,53,true,Fruta
141,pavo bronceado,2024-02-02,93,true,Semilla
142,garbanzos,2024-03-24,99,true,Semilla
143,ciruela roja occidental,2024-02-10,50,false,Lacteo
144,larvas de polilla,2023-10-28,21,false,Insecto
145,pimiento rojo,2024-05-05,73,true,Pescado
146,oveja,2024-04-08,57,true,Fruta
147,hormiga tejedora,2024-05-19,93,true,Fruta
148,larvas de polilla de la cera,2024-04-02,42,false,Fruta
149,calabaza de peregrino,2024-07-10,84,true,Insecto
150,pollo de Cornualles rojo,2024-06-16,69,true,Verdura
151,bacalao de Alaska,2024-04-14,83,false,Lacteo
152,remolacha,2024-03-05,42,true,Verdura
153,judía verde,2024-01-03,48,true,Carne
154,zanahoria,2024-06-23,7,false,Fruta
155,ternera,2023-11-10,22,true,Insecto
156,kiwi,2024-08-24,36,false,Carne
157,nuez,2024-06-02,22,true,Semilla
158,calabaza de Australia,2024-01-30,61,true,Pescado
159,amaranto blanco,2024-08-29,81,true,Fruta
160,mijo,2024-02-10,67,true,Pescado
161,lentejas,2024-02-17,28,true,Tuberculo
162,calabaza de Australia,2024-09-06,15,true,Tuberculo
163,gusanos de harina,2024-02-01,80,true,Carne
164,rábano negro largo,2023-12-25,35,false,Carne
165,pimiento,2024-04-18,100,false,Fruta
166,oveja,2024-10-09,79,true,Lacteo
167,calabacín amarillo,2024-03-31,13,true,Insecto
168,nombre,2024-02-25,39,false,Carne
169,enguia,2024-10-03,17,true,Tuberculo
170,perca europea,2024-01-16,5,true,Pescado
171,hormiga de fuego,2024-09-14,32,false,Verdura
172,bacalao de Alaska,2024-05-25,1,true,Fruta
173,enguia,2024-06-24,10,true,Lacteo
174,almendra australiana,2024-08-02,5,false,Carne
175,gusano del harino,2024-06-26,90,true,Semilla
176,ganso del Canadá,2024-04-05,96,false,Semilla
177,nabo sueco,2024-08-11,33,true,Lacteo
178,nombre,2024-07-14,85,true,Tuberculo
179,pavo de Bourbourg,2024-07-09,67,false,Fruta
180,quinua roja,2024-09-30,8,true,Insecto
181,rábano picante,2024-01-12,70,false,Tuberculo
182,sábalo,2023-10-26,72,false,Lacteo
183,repollo blanco,2023-11-15,77,true,Verdura
184,lenguado de Dover,2024-09-10,4,true,Tuberculo
185,pollo de Cornualles rojo,2024-05-16,18,true,Insecto
186,pavo bronceado,2024-06-02,25,false,Lacteo
187,calabacín trompeta,2024-04-11,44,false,Semilla
188,hormigas de cabeza de huevo,2024-07-31,33,true,Insecto
189,rábano negro,2023-12-21,28,false,Verdura
190,quinua negra,2024-09-13,57,false,Verdura
191,ciruela amarilla,2024-03-08,99,true,Carne
192,pargo rojo del Golfo de México,2024-08-25,43,false,Carne
193,pulpo comestible,2024-05-27,15,true,Carne
194,calabaza delicata,2024-01-29,46,true,Pescado
195,sésamo negro,2024-01-29,90,false,Lacteo
196,pavo,2024-09-25,32,false,Verdura
197,mijo,2024-03-11,94,false,Semilla
198,quinua roja,2024-09-26,14,true,Verdura
199,durazno,2024-05-02,2,false,Fruta
200,ganso,2023-12-10,91,true,Pescado
201,gusanos del corazón,2023-11-03,93,true,Tuberculo
202,berro de agua,2024-02-04,67,false,Verdura
203,rábano negro largo,2024-01-16,100,true,Verdura
204,ciruela negra,2024-04-04,51,false,Semilla
205,calabaza de cera,2023-12-31,46,true,Fruta
206,pargo rojo del Golfo de México,2023-12-02,40,false,Lacteo
207,mújol del Pacífico,2024-07-29,16,true,Lacteo
208,calabacín italiano,2024-08-08,5,true,Pescado
209,rábano,2024-09-17,47,true,Lacteo
210,maíz,2023-12-06,76,true,Tuberculo
211,chía blanca,2024-05-06,3,false,Verdura
212,amaranto negro,2024-08-21,88,false,Verdura
213,quinoa roja,2024-08-11,80,true,Carne
214,trucha marrón,2024-05-10,78,false,Insecto
215,garza blanca grande,2024-03-22,50,true,Fruta
216,almendra de coco,2024-01-19,87,true,Tuberculo
217,pollo de Cornualles,2024-04-30,2,true,Fruta
218,calabacín amarillo,2023-12-05,46,true,Insecto
219,rábano de daikon,2024-01-02,16,true,Lacteo
220,trucha de arroyo,2024-07-31,8,true,Tuberculo
221,garza blanca grande,2024-01-16,77,false,Lacteo
222,larvas de abeja de miel,2023-11-23,25,false,Fruta
223,gusanos del bambú,2024-08-02,52,false,Tuberculo
224,gusanos de la miel,2024-05-25,69,false,Pescado
225,pollo de Guinea,2024-08-26,28,true,Pescado
226,lentejas,2024-04-08,73,false,Carne
227,calabacín redondo,2024-06-20,46,false,Lacteo
228,larvas de polilla de la cera,2024-06-28,81,false,Semilla
229,pollo de Guinea,2024-05-22,60,true,Verdura
230,trucha de arroyo,2024-07-10,22,false,Fruta
231,pera,2024-09-22,93,false,Pescado
232,gusanos de la col,2024-09-29,66,true,Insecto
233,bacalao del Pacífico,2024-04-16,17,false,Carne
234,pavo Bourbon Red,2024-07-23,88,true,Lacteo
235,venado,2024-04-05,81,false,Carne
236,avena,2024-02-15,90,false,Semilla
237,melón dulce,2024-03-23,12,false,Semilla
238,calabacín de verano,2024-01-06,17,true,Pescado
239,remolacha,2023-12-03,4,false,Tuberculo
240,nabo silvestre,2023-11-11,90,false,Verdura
241,calabaza de bellota,2024-10-08,56,false,Verdura
242,pavo de Norfolk Black,2024-08-06,41,false,Insecto
243,gusanos del corazón,2024-06-17,11,false,Verdura
244,gusano del harino,2024-09-29,12,false,Semilla
245,calabacín cimarrón,2023-11-30,91,true,Fruta
246,avispa,2024-07-08,89,false,Fruta
247,rábano blanco,2024-08-22,84,true,Semilla
248,bacalao,2024-04-17,39,false,Fruta
249,nombre,2024-08-08,33,true,Verdura
250,almendra negra,2024-04-17,37,false,Lacteo
251,avena,2024-10-08,25,true,Verdura
252,calabacín amarillo,2024-08-18,34,true,Fruta
253,rábano japonés,2023-11-01,35,true,Pescado
254,escamoles,2024-04-02,44,false,Verdura
255,quinua roja,2024-04-11,27,false,Tuberculo
256,pollo,2024-04-14,42,false,Carne
257,rábano picante,2024-04-11,25,false,Carne
258,pimientos morrones,2024-10-24,81,true,Semilla
259,gusanos de la miel,2024-07-18,65,false,Fruta
260,almendra de macadamia,2024-04-03,89,true,Fruta
261,amaranto rojo,2024-09-25,78,true,Pescado
262,pollo de Guinea,2024-04-16,97,false,Semilla
263,larvas de polilla del ejército,2024-08-15,92,true,Carne
264,mújol rayado,2024-03-25,62,true,Lacteo
265,larvas de polilla del ejército,2024-08-21,84,false,Semilla
266,pargo rojo del Pacífico,2024-08-10,97,true,Lacteo
267,trucha arcoíris dorada,2024-07-11,72,true,Semilla
268,alcachofa,2024-09-29,96,false,Semilla
269,sábalo,2024-07-12,35,true,Lacteo
270,rábano redondo,2024-01-14,96,false,Insecto
271,pimiento verde,2024-05-01,72,true,Lacteo
272,plátano,2024-02-23,66,false,Lacteo
273,rábano oriental redondo,2024-01-27,39,false,Semilla
274,bacalao del Atlántico,2024-09-16,71,false,Insecto
275,melón dulce,2024-05-27,27,false,Lacteo
276,pavo Bourbon Red,2024-03-29,52,false,Insecto
277,ternera,2023-12-28,53,true,Semilla
278,maíz,2024-05-15,11,false,Fruta
279,grillos,2024-08-16,86,true,Insecto
280,espinaca,2024-04-30,56,false,Pescado
281,ciruela roja,2024-10-22,54,true,Lacteo
282,garza real,2024-03-10,92,true,Verdura
283,cebolla,2024-05-28,42,false,Fruta
284,larvas de escarabajo de la harina,2024-08-10,15,false,Pescado
285,calabaza de Australia,2024-05-17,94,false,Pescado
286,gallina de Cornualles,2024-08-31,28,false,Pescado
287,venado,2024-01-02,49,false,Verdura
288,plátano,2023-12-13,91,true,Carne
289,pollo de Guinea,2024-07-10,91,true,Verdura
290,pato de Pekín,2024-03-25,83,false,Verdura
291,sábalo,2024-05-16,62,false,Pescado
292,nabo sueco,2024-08-27,32,false,Pescado
293,sésamo negro,2024-07-17,90,true,Lacteo
294,pato,2024-02-12,89,true,Verdura
295,cerdo,2023-12-15,52,true,Insecto
296,batata,2024-10-20,77,true,Verdura
297,gusanos de la miel,2024-02-05,31,true,Pescado
298,larvas de abeja de miel,2024-02-27,72,false,Pescado
299,tilapia del Nilo,2024-06-01,9,true,Pescado
300,bacalao,2024-01-02,22,false,Tuberculo
301,nabo negro,2024-01-21,12,true,Carne
302,perca europea,2024-08-31,47,false,Carne
303,pavo de Norfolk Black,2024-04-30,43,false,Fruta
304,ganso,2024-07-26,29,true,Insecto
305,ciervo,2024-05-23,51,true,Insecto
306,rábano daikon,2024-07-25,67,false,Verdura
307,calabacín trompeta,2024-10-12,68,false,Pescado
308,calabaza de invierno,2024-10-06,47,false,Insecto
309,calabacín italiano,2023-12-18,56,false,Verdura
310,tilapia,2024-10-14,10,true,Fruta
311,rábano negro,2024-07-13,60,false,Tuberculo
312,ciruela italiana,2024-10-25,38,false,Verdura
313,gusano de seda,2024-03-21,43,false,Fruta
314,gusanos de seda,2024-08-08,94,true,Pescado
315,calabacín,2023-12-17,53,false,Tuberculo
316,melón dulce,2024-05-15,22,true,Insecto
317,almendra negra,2024-05-20,60,false,Tuberculo
318,hormigas cortadoras de hojas,2024-09-27,62,false,Lacteo
319,durazno amarillo,2023-11-13,32,true,Lacteo
320,girasol,2024-05-28,89,true,Lacteo
321,papaya,2024-07-26,69,false,Semilla
322,kiwi,2024-07-11,33,true,Tuberculo
323,nabo largo,2024-03-14,7,true,Pescado
324,cereza agria,2024-02-14,48,true,Tuberculo
325,trucha,2024-01-02,38,true,Insecto
326,pavo Narragansett,2024-09-02,12,true,Pescado
327,trucha de arroyo,2024-08-29,39,true,Lacteo
328,judía verde,2024-02-05,59,false,Lacteo
329,trucha marrón,2024-04-16,100,false,Carne
330,sardina,2024-01-06,7,false,Carne
331,brócoli,2024-09-24,21,false,Pescado
332,almendra,2023-12-23,80,false,Fruta
333,bacalao de Alaska,2023-12-23,53,true,Lacteo
334,hormiga tejedora,2024-09-06,69,false,Tuberculo
335,saltamontes,2024-04-25,94,false,Semilla
336,pollo de Cornualles,2024-09-05,94,true,Semilla
337,tilapia del Nilo,2024-02-14,25,true,Insecto
338,garza blanca grande,2024-09-10,77,true,Lacteo
339,calabacín romano,2024-07-03,45,true,Tuberculo
340,sésamo negro,2024-04-18,27,false,Verdura
341,dorada rayada del Atlántico,2023-10-27,17,false,Fruta
342,gusano de cera,2024-03-22,37,false,Lacteo
343,hormiga de la harina,2024-05-16,24,true,Fruta
344,almendra de macadamia,2024-08-27,95,true,Carne
345,coliflor,2024-02-05,68,false,Tuberculo
346,ganso,2024-05-19,81,true,Pescado
347,ciruela verde,2023-11-06,76,true,Lacteo
348,garbanzos,2023-12-10,87,false,Tuberculo
349,gusano de la harina,2024-05-07,45,true,Carne
350,trucha arcoíris,2023-11-25,82,true,Insecto
351,avena,2024-07-28,45,false,Verdura
352,hormiga de la harina,2024-07-05,98,false,Carne
353,pavo de Norfolk Black,2024-06-24,2,true,Fruta
354,cacahuate,2024-10-25,38,true,Verdura
355,sardina europea,2024-08-05,13,false,Carne
356,pimientos morrones,2024-02-05,1,false,Fruta
357,calabacín amarillo,2024-03-29,60,true,Carne
358,pargo rojo del Atlántico,2023-11-23,25,true,Fruta
359,mazorca de maíz,2024-05-16,83,true,Verdura
360,pollo de Cornualles enano,2024-09-28,75,true,Tuberculo
361,uva,2024-10-05,26,false,Lacteo
362,pavo real,2024-06-24,37,false,Carne
363,trucha marrón,2024-03-18,9,false,Insecto
364,coliflor,2024-09-15,83,false,Pescado
365,garza gris,2024-09-05,54,false,Semilla
366,ganso de cabeza blanca,2024-02-29,53,true,Lacteo
367,calabaza de spaghetti,2024-04-05,67,true,Lacteo
368,hormigas de cabeza de huevo,2024-04-19,59,true,Verdura
369,mijo perla,2024-03-02,11,false,Fruta
370,larvas de abeja,2024-05-22,55,false,Pescado
371,lenguado de Dover,2024-10-24,92,true,Pescado
372,gallina de Cornualles,2024-07-03,36,true,Pescado
373,almendra china,2024-02-23,10,false,Pescado
374,coliflor,2024-09-09,37,false,Semilla
375,calabacín redondo,2024-02-16,32,false,Verdura
376,calabaza de peregrino,2024-08-14,39,false,Semilla
377,almendra china,2023-11-28,18,false,Fruta
378,ganso del Canadá,2024-07-10,47,true,Tuberculo
379,trucha,2024-05-21,77,true,Pescado
380,durazno,2023-11-17,4,true,Verdura
381,chapulines rojos,2024-02-24,99,true,Lacteo
382,pavo Narragansett,2024-08-20,91,true,Tuberculo
383,pimientos amarillos,2024-02-12,1,true,Insecto
384,mazorca de maíz roja,2024-06-16,9,false,Carne
385,kiwi,2024-07-03,47,false,Lacteo
386,abejorro,2024-05-23,41,true,Semilla
387,ciruela roja japonesa,2024-09-23,33,true,Tuberculo
388,hormigas de cabeza de huevo,2024-06-11,90,true,Lacteo
389,mújol del Pacífico,2023-11-30,8,false,Fruta
390,nabo blanco,2024-08-15,63,false,Semilla
391,rábano blanco,2024-02-18,19,true,Lacteo
392,pimiento verde,2024-06-03,42,true,Fruta
393,larvas de polilla de la seda,2024-08-17,19,true,Carne
394,pato de Pekín,2024-04-10,93,false,Semilla
395,ciruela verde,2023-12-02,39,false,Fruta
396,ciruela,2024-06-28,32,false,Pescado
397,rábano oriental redondo,2024-04-19,5,true,Verdura
398,larvas de polilla del atlas,2024-08-20,47,true,Fruta
399,anguila,2024-05-23,76,false,Verdura
400,repollo blanco,2024-10-18,79,false,Insecto
401,hormiga de la harina,2023-12-01,56,true,Tuberculo
402,rábano chino,2024-09-07,7,false,Tuberculo
403,calabaza cacahuete,2024-03-18,38,true,Pescado
404,garbanzos,2023-11-26,98,true,Verdura
405,lenguado del Atlántico,2024-03-17,52,true,Fruta
406,pimientos morrones verdes,2024-06-17,47,true,Tuberculo
407,larvas de langosta,2024-05-10,36,true,Insecto
408,quinoa negra,2024-05-28,23,true,Insecto
409,cerdo,2024-03-24,93,true,Carne
410,zanahoria,2024-02-01,52,true,Fruta
411,hormiga culona,2024-01-27,3,true,Carne
412,calabaza de invierno,2023-11-25,63,true,Lacteo
413,hormiga de la harina,2023-11-29,6,false,Verdura
414,berenjena,2024-07-24,96,true,Lacteo
415,durazno amarillo,2024-10-21,94,false,Pescado
416,calabacín redondo,2024-08-31,5,false,Fruta
417,trucha arcoíris,2024-06-19,32,false,Insecto
418,betabel,2024-07-31,13,false,Insecto
419,ciruela roja occidental,2023-12-01,56,false,Fruta
420,trucha de arroyo,2024-10-05,66,true,Insecto
421,pavo bronceado,2024-04-13,72,false,Pescado
422,conejo,2024-03-17,100,false,Carne
423,lubina,2024-03-15,70,true,Insecto
424,pargo rojo del Pacífico,2024-03-19,5,false,Pescado
425,hormigas,2024-01-02,91,true,Semilla
426,hormigas blancas,2024-03-30,1,false,Carne
427,cacahuate,2023-11-22,99,false,Carne
428,gusanos del corazón,2024-03-02,41,true,Fruta
429,chapulines verdes,2024-05-09,50,false,Lacteo
430,zanahoria,2023-11-25,12,false,Lacteo
431,naranja,2024-04-05,43,false,Fruta
432,batata,2024-03-21,89,true,Carne
433,sésamo negro,2023-12-14,9,false,Semilla
434,hormigas de terciopelo,2024-10-12,73,false,Semilla
435,gusanos de la col,2024-06-15,3,true,Tuberculo
436,rábano blanco,2024-10-18,97,false,Fruta
437,ganso,2024-04-17,13,false,Lacteo
438,pimientos morrones verdes,2023-12-07,38,true,Semilla
439,quinoa roja,2024-02-05,23,false,Semilla
440,durazno amarillo,2024-04-30,89,false,Pescado
441,bacalao de Alaska,2024-07-15,85,true,Semilla
442,calabaza de peregrino,2024-01-24,53,false,Verdura
443,saltamontes,2024-04-25,59,false,Insecto
444,patata dulce,2024-10-20,51,false,Pescado
445,ciruela roja occidental,2024-01-28,83,true,Insecto
446,hormigas blancas,2024-02-16,6,true,Verdura
447,pavo de Bourbourg,2023-11-10,96,false,Tuberculo
448,nabo forrajero,2024-01-09,1,true,Lacteo
449,calabacín trompeta,2024-08-14,93,true,Verdura
450,cerezas,2024-10-23,49,true,Semilla
451,almendra negra,2024-07-08,23,true,Verdura
452,hormigas,2024-07-24,85,false,Semilla
453,gusano de seda,2024-05-26,51,false,Pescado
454,rábano silvestre,2023-12-10,7,true,Carne
455,betabel,2024-04-20,16,true,Lacteo
456,calabaza de spaghetti,2024-01-04,61,false,Pescado
457,nabo forrajero,2023-11-19,89,true,Carne
458,ciruela roja occidental,2024-06-28,79,false,Lacteo
459,mijo perla,2024-05-06,80,true,Lacteo
460,grillos,2023-12-04,13,false,Semilla
461,pargo común,2024-01-29,80,true,Lacteo
462,lombrices,2024-07-07,57,false,Pescado
463,larvas de abeja,2024-09-19,98,true,Insecto
464,rábano blanco,2024-07-03,12,true,Verdura
465,nabo blanco,2024-08-07,16,false,Pescado
466,sardina,2024-09-28,61,true,Verdura
467,pimientos amarillos,2024-02-24,98,false,Semilla
468,trucha de arroyo,2024-01-06,98,false,Semilla
469,papa,2024-02-22,14,true,Pescado
470,pargo rojo del Atlántico,2024-05-20,86,true,Fruta
471,larvas de abeja,2024-01-05,63,false,Insecto
472,amaranto negro,2023-11-20,80,false,Pescado
473,enguia,2024-05-01,73,true,Tuberculo
474,rábano chino,2024-08-21,42,true,Tuberculo
475,amaranto rojo,2024-08-03,3,false,Insecto
476,pimientos naranja,2024-03-24,49,false,Carne
477,rábano rojo,2023-11-29,30,true,Pescado
478,ganso de nieve,2023-12-14,9,false,Semilla
479,coliflor,2024-02-16,50,true,Semilla
480,grillos,2023-11-12,23,false,Lacteo
481,calabaza de spaghetti,2023-11-03,81,true,Tuberculo
482,ciruela verde,2024-06-11,42,false,Tuberculo
483,chapulines verdes,2024-09-16,93,false,Semilla
484,rábano redondo,2024-09-04,36,true,Pescado
485,ciruela negra,2024-09-13,12,true,Verdura
486,nabo forrajero,2024-06-13,24,false,Verdura
487,pavo,2024-07-21,94,false,Semilla
488,bacalao del Pacífico,2024-01-10,8,true,Fruta
489,espinaca,2024-08-15,100,true,Fruta
490,ciruela roja japonesa,2023-11-30,23,true,Fruta
491,berro de agua,2024-06-25,2,false,Insecto
492,remolacha,2024-09-21,93,false,Verdura
493,calabaza de piel de serpiente,2024-08-18,36,false,Insecto
494,larvas de polilla del ejército,2024-02-12,63,true,Fruta
495,pavo Bourbon Red,2024-07-15,95,false,Lacteo
496,gusanos de seda,2024-09-19,28,true,Lacteo
497,almendra australiana,2023-12-09,36,false,Carne
498,quinua blanca,2024-10-06,29,true,Tuberculo
499,bacalao del Atlántico,2024-04-18,20,true,Lacteo
500,quinoa negra,2024-08-06,78,true,Semilla
501,gusano del harino,2024-05-26,88,true,Fruta
502,pollo de Guinea,2023-11-11,24,true,Semilla
